Regione;Totale;2003;2004;2005;2006;2007;Media
Abruzzo;278,83;54,07;56,61;55,84;57,14;55,17;55,77
Basilicata;291,85;54,50;63,88;58,61;55,49;59,37;58,37
Calabria;283,69;53,20;52,10;63,60;53,73;61,06;56,74
Campania;289,70;51,97;57,23;51,74;61,52;67,24;57,94
Emilia-Romagna;285,61;50,48;60,50;55,18;59,08;60,37;57,12
Friuli-Venezia Giulia;313,75;62,23;56,50;63,27;61,63;70,12;62,75
Lazio;310,89;57,99;59,52;59,15;62,35;71,88;62,18
Liguria;281,74;49,51;58,62;56,07;57,35;60,19;56,35
Lombardia;317,38;61,38;61,76;64,39;66,60;63,25;63,48
Marche;285,41;55,96;56,07;58,75;55,11;59,52;57,08
Molise;259,77;50,10;44,99;50,61;55,37;58,70;51,95
Piemonte;278,51;57,16;55,16;54,00;59,31;52,88;55,70
Puglia;277,57;50,27;56,99;53,21;56,18;60,92;55,51
Sardegna;296,17;53,03;54,50;63,26;59,09;66,29;59,23
Sicilia;289,05;48,58;53,47;57,05;63,87;66,08;57,81
Toscana;285,49;56,18;50,62;59,40;57,27;62,02;57,10
Trentino-Alto Adige;342,55;66,74;65,83;69,07;71,97;68,94;68,51
Umbria;280,23;54,04;58,14;52,07;52,89;63,09;56,05
Valle d'Aosta;279,97;53,26;48,78;56,60;68,40;52,93;55,99
Veneto;296,03;49,86;60,55;57,45;61,57;66,60;59,21
